theme	period	count	formatCategory	themeLabel
http://data.mimotext.uni-trier.de/entity/Q2882	1760	4	in-12	éducation
http://data.mimotext.uni-trier.de/entity/Q2901	1760	1	in-12	état
http://data.mimotext.uni-trier.de/entity/Q2930	1760	1	in-12	guerre
http://data.mimotext.uni-trier.de/entity/Q2952	1760	1	in-12	interaction
http://data.mimotext.uni-trier.de/entity/Q2994	1760	1	in-12	monarchie
http://data.mimotext.uni-trier.de/entity/Q2999	1760	2	in-12	mort
http://data.mimotext.uni-trier.de/entity/Q3005	1760	3	in-12	nature
http://data.mimotext.uni-trier.de/entity/Q3071	1760	2	in-12	richesse
http://data.mimotext.uni-trier.de/entity/Q3851	1760	1	in-12	Topic 0:[temps paraître encore]
http://data.mimotext.uni-trier.de/entity/Q4027	1760	2	in-12	Topic 18:[paraître recevoir personne]
http://data.mimotext.uni-trier.de/entity/Q2776	1775	12	in-12	amour
http://data.mimotext.uni-trier.de/entity/Q2863	1775	1	in-12	destin
http://data.mimotext.uni-trier.de/entity/Q2864	1775	2	in-12	deuil
http://data.mimotext.uni-trier.de/entity/Q3005	1775	1	in-12	nature
http://data.mimotext.uni-trier.de/entity/Q3039	1775	1	in-12	philosophie
http://data.mimotext.uni-trier.de/entity/Q3066	1775	1	in-12	religion
http://data.mimotext.uni-trier.de/entity/Q3085	1775	23	in-12	sentimentalisme
http://data.mimotext.uni-trier.de/entity/Q3087	1775	17	in-12	sentiment
http://data.mimotext.uni-trier.de/entity/Q3120	1775	9	in-12	vertu
http://data.mimotext.uni-trier.de/entity/Q2775	1775	1	in-12	amitié
http://data.mimotext.uni-trier.de/entity/Q2790	1775	1	in-12	attraction
http://data.mimotext.uni-trier.de/entity/Q2804	1775	2	in-12	bonheur
http://data.mimotext.uni-trier.de/entity/Q2844	1775	2	in-12	correspondance
http://data.mimotext.uni-trier.de/entity/Q2952	1775	2	in-12	interaction
http://data.mimotext.uni-trier.de/entity/Q2992	1775	9	in-12	mœurs
http://data.mimotext.uni-trier.de/entity/Q3011	1775	1	in-12	noblesse
http://data.mimotext.uni-trier.de/entity/Q3034	1775	1	in-12	personnalité
http://data.mimotext.uni-trier.de/entity/Q3851	1775	2	in-12	Topic 0:[temps paraître encore]
http://data.mimotext.uni-trier.de/entity/Q4027	1775	3	in-12	Topic 18:[paraître recevoir personne]
http://data.mimotext.uni-trier.de/entity/Q4032	1775	2	in-12	Topic 23:[femme homme esprit]
http://data.mimotext.uni-trier.de/entity/Q2776	1780	8	in-12	amour
http://data.mimotext.uni-trier.de/entity/Q2790	1780	2	in-12	attraction
http://data.mimotext.uni-trier.de/entity/Q2864	1780	5	in-12	deuil
http://data.mimotext.uni-trier.de/entity/Q2952	1780	3	in-12	interaction
http://data.mimotext.uni-trier.de/entity/Q2969	1780	5	in-12	libertinage
http://data.mimotext.uni-trier.de/entity/Q3034	1780	2	in-12	personnalité
http://data.mimotext.uni-trier.de/entity/Q3064	1780	3	in-12	relation amoureuse
http://data.mimotext.uni-trier.de/entity/Q3087	1780	20	in-12	sentiment
http://data.mimotext.uni-trier.de/entity/Q3851	1780	4	in-12	Topic 0:[temps paraître encore]
http://data.mimotext.uni-trier.de/entity/Q4027	1780	6	in-12	Topic 18:[paraître recevoir personne]
http://data.mimotext.uni-trier.de/entity/Q4032	1780	3	in-12	Topic 23:[femme homme esprit]
http://data.mimotext.uni-trier.de/entity/Q2776	1785	9	in-12	amour
http://data.mimotext.uni-trier.de/entity/Q2864	1785	2	in-12	deuil
http://data.mimotext.uni-trier.de/entity/Q3005	1785	2	in-12	nature
http://data.mimotext.uni-trier.de/entity/Q3025	1785	3	in-12	passion
http://data.mimotext.uni-trier.de/entity/Q3039	1785	8	in-12	philosophie
http://data.mimotext.uni-trier.de/entity/Q3085	1785	27	in-12	sentimentalisme
http://data.mimotext.uni-trier.de/entity/Q3087	1785	29	in-12	sentiment
http://data.mimotext.uni-trier.de/entity/Q3243	1785	1	in-12	campagne
http://data.mimotext.uni-trier.de/entity/Q4032	1785	2	in-12	Topic 23:[femme homme esprit]
http://data.mimotext.uni-trier.de/entity/Q2776	1750	10	in-12	amour
http://data.mimotext.uni-trier.de/entity/Q2882	1750	4	in-12	éducation
http://data.mimotext.uni-trier.de/entity/Q2891	1750	2	in-12	enfance
http://data.mimotext.uni-trier.de/entity/Q2919	1750	13	in-12	galanterie
http://data.mimotext.uni-trier.de/entity/Q2992	1750	5	in-12	mœurs
http://data.mimotext.uni-trier.de/entity/Q3087	1750	19	in-12	sentiment
http://data.mimotext.uni-trier.de/entity/Q4017	1750	1	in-12	Topic 8:[croire moins encore]
http://data.mimotext.uni-trier.de/entity/Q4027	1750	5	in-12	Topic 18:[paraître recevoir personne]
http://data.mimotext.uni-trier.de/entity/Q4032	1750	4	in-12	Topic 23:[femme homme esprit]
http://data.mimotext.uni-trier.de/entity/Q3085	1750	13	in-12	sentimentalisme
http://data.mimotext.uni-trier.de/entity/Q3120	1750	2	in-12	vertu
http://data.mimotext.uni-trier.de/entity/Q2990	1750	11	in-12	miracle
http://data.mimotext.uni-trier.de/entity/Q3150	1750	7	in-12	cour
http://data.mimotext.uni-trier.de/entity/Q3126	1750	16	in-12	voyage
http://data.mimotext.uni-trier.de/entity/Q2969	1750	4	in-12	libertinage
http://data.mimotext.uni-trier.de/entity/Q2933	1750	2	in-12	histoire
http://data.mimotext.uni-trier.de/entity/Q3048	1750	3	in-12	politique
http://data.mimotext.uni-trier.de/entity/Q2992	1755	7	in-12	mœurs
http://data.mimotext.uni-trier.de/entity/Q3039	1755	9	in-12	philosophie
http://data.mimotext.uni-trier.de/entity/Q3126	1755	6	in-12	voyage
http://data.mimotext.uni-trier.de/entity/Q2919	1755	11	in-12	galanterie
http://data.mimotext.uni-trier.de/entity/Q2776	1755	12	in-12	amour
http://data.mimotext.uni-trier.de/entity/Q2978	1755	6	in-12	malheur
http://data.mimotext.uni-trier.de/entity/Q3085	1755	11	in-12	sentimentalisme
http://data.mimotext.uni-trier.de/entity/Q3120	1755	4	in-12	vertu
http://data.mimotext.uni-trier.de/entity/Q3087	1760	17	in-12	sentiment
http://data.mimotext.uni-trier.de/entity/Q3150	1760	3	in-12	cour
http://data.mimotext.uni-trier.de/entity/Q2919	1760	13	in-12	galanterie
http://data.mimotext.uni-trier.de/entity/Q2992	1760	9	in-12	mœurs
http://data.mimotext.uni-trier.de/entity/Q3126	1760	18	in-12	voyage
http://data.mimotext.uni-trier.de/entity/Q2978	1760	3	in-12	malheur
http://data.mimotext.uni-trier.de/entity/Q3085	1760	12	in-12	sentimentalisme
http://data.mimotext.uni-trier.de/entity/Q3039	1760	4	in-12	philosophie
http://data.mimotext.uni-trier.de/entity/Q2907	1760	3	in-12	famille
http://data.mimotext.uni-trier.de/entity/Q2919	1765	17	in-12	galanterie
http://data.mimotext.uni-trier.de/entity/Q3085	1765	43	in-12	sentimentalisme
http://data.mimotext.uni-trier.de/entity/Q3087	1765	50	in-12	sentiment
http://data.mimotext.uni-trier.de/entity/Q3120	1765	16	in-12	vertu
http://data.mimotext.uni-trier.de/entity/Q2978	1765	16	in-12	malheur
http://data.mimotext.uni-trier.de/entity/Q2882	1765	4	in-12	éducation
http://data.mimotext.uni-trier.de/entity/Q2891	1765	2	in-12	enfance
http://data.mimotext.uni-trier.de/entity/Q2901	1765	3	in-12	état
http://data.mimotext.uni-trier.de/entity/Q3005	1765	4	in-12	nature
http://data.mimotext.uni-trier.de/entity/Q3006	1765	1	in-12	naufrage
http://data.mimotext.uni-trier.de/entity/Q3039	1765	5	in-12	philosophie
http://data.mimotext.uni-trier.de/entity/Q3243	1765	2	in-12	campagne
http://data.mimotext.uni-trier.de/entity/Q2984	1765	10	in-12	mélancolie
http://data.mimotext.uni-trier.de/entity/Q3126	1765	14	in-12	voyage
http://data.mimotext.uni-trier.de/entity/Q2776	1765	27	in-12	amour
http://data.mimotext.uni-trier.de/entity/Q2907	1765	15	in-12	famille
http://data.mimotext.uni-trier.de/entity/Q2990	1765	5	in-12	miracle
http://data.mimotext.uni-trier.de/entity/Q2787	1765	2	in-12	art
http://data.mimotext.uni-trier.de/entity/Q2798	1765	2	in-12	beauté
http://data.mimotext.uni-trier.de/entity/Q2992	1765	18	in-12	mœurs
http://data.mimotext.uni-trier.de/entity/Q3011	1765	3	in-12	noblesse
http://data.mimotext.uni-trier.de/entity/Q3026	1765	3	in-12	pastorale en littérature
http://data.mimotext.uni-trier.de/entity/Q4032	1765	5	in-12	Topic 23:[femme homme esprit]
http://data.mimotext.uni-trier.de/entity/Q2848	1765	5	in-12	crime
http://data.mimotext.uni-trier.de/entity/Q2864	1765	4	in-12	deuil
http://data.mimotext.uni-trier.de/entity/Q2930	1765	1	in-12	guerre
http://data.mimotext.uni-trier.de/entity/Q2933	1765	2	in-12	histoire
http://data.mimotext.uni-trier.de/entity/Q3048	1765	4	in-12	politique
http://data.mimotext.uni-trier.de/entity/Q4027	1765	4	in-12	Topic 18:[paraître recevoir personne]
http://data.mimotext.uni-trier.de/entity/Q2776	1770	14	in-12	amour
http://data.mimotext.uni-trier.de/entity/Q3087	1770	17	in-12	sentiment
http://data.mimotext.uni-trier.de/entity/Q3120	1770	5	in-12	vertu
http://data.mimotext.uni-trier.de/entity/Q2984	1770	2	in-12	mélancolie
http://data.mimotext.uni-trier.de/entity/Q3085	1770	17	in-12	sentimentalisme
http://data.mimotext.uni-trier.de/entity/Q2919	1770	8	in-12	galanterie
http://data.mimotext.uni-trier.de/entity/Q2992	1770	10	in-12	mœurs
http://data.mimotext.uni-trier.de/entity/Q3039	1770	8	in-12	philosophie
http://data.mimotext.uni-trier.de/entity/Q3126	1770	12	in-12	voyage
http://data.mimotext.uni-trier.de/entity/Q2978	1770	9	in-12	malheur
http://data.mimotext.uni-trier.de/entity/Q2998	1770	3	in-12	morale
http://data.mimotext.uni-trier.de/entity/Q2930	1770	3	in-12	guerre
http://data.mimotext.uni-trier.de/entity/Q3150	1770	5	in-12	cour
http://data.mimotext.uni-trier.de/entity/Q2791	1770	1	in-12	autobiographie
http://data.mimotext.uni-trier.de/entity/Q2907	1775	6	in-12	famille
http://data.mimotext.uni-trier.de/entity/Q2919	1775	4	in-12	galanterie
http://data.mimotext.uni-trier.de/entity/Q2978	1775	9	in-12	malheur
http://data.mimotext.uni-trier.de/entity/Q2895	1775	3	in-12	érotisme
http://data.mimotext.uni-trier.de/entity/Q3126	1775	6	in-12	voyage
http://data.mimotext.uni-trier.de/entity/Q2791	1775	2	in-12	autobiographie
http://data.mimotext.uni-trier.de/entity/Q2882	1775	2	in-12	éducation
http://data.mimotext.uni-trier.de/entity/Q2891	1775	1	in-12	enfance
http://data.mimotext.uni-trier.de/entity/Q3243	1775	1	in-12	campagne
http://data.mimotext.uni-trier.de/entity/Q2882	1780	2	in-12	éducation
http://data.mimotext.uni-trier.de/entity/Q2992	1780	9	in-12	mœurs
http://data.mimotext.uni-trier.de/entity/Q3039	1780	7	in-12	philosophie
http://data.mimotext.uni-trier.de/entity/Q2978	1780	9	in-12	malheur
http://data.mimotext.uni-trier.de/entity/Q2907	1780	6	in-12	famille
http://data.mimotext.uni-trier.de/entity/Q3085	1780	19	in-12	sentimentalisme
http://data.mimotext.uni-trier.de/entity/Q3025	1780	3	in-12	passion
http://data.mimotext.uni-trier.de/entity/Q2919	1780	9	in-12	galanterie
http://data.mimotext.uni-trier.de/entity/Q3120	1780	5	in-12	vertu
http://data.mimotext.uni-trier.de/entity/Q3126	1780	9	in-12	voyage
http://data.mimotext.uni-trier.de/entity/Q2775	1780	1	in-12	amitié
http://data.mimotext.uni-trier.de/entity/Q2844	1780	6	in-12	correspondance
http://data.mimotext.uni-trier.de/entity/Q3011	1780	2	in-12	noblesse
http://data.mimotext.uni-trier.de/entity/Q3012	1780	7	in-12	nuit
http://data.mimotext.uni-trier.de/entity/Q2998	1780	4	in-12	morale
http://data.mimotext.uni-trier.de/entity/Q2772	1750	2	in-12	alimentation
http://data.mimotext.uni-trier.de/entity/Q2787	1750	2	in-12	art
http://data.mimotext.uni-trier.de/entity/Q2861	1750	1	in-12	dérision
http://data.mimotext.uni-trier.de/entity/Q2903	1750	1	in-12	être humain
http://data.mimotext.uni-trier.de/entity/Q2953	1750	1	in-12	ironie
http://data.mimotext.uni-trier.de/entity/Q3005	1750	4	in-12	nature
http://data.mimotext.uni-trier.de/entity/Q3039	1750	3	in-12	philosophie
http://data.mimotext.uni-trier.de/entity/Q3066	1750	2	in-12	religion
http://data.mimotext.uni-trier.de/entity/Q3089	1750	2	in-12	sociabilité
http://data.mimotext.uni-trier.de/entity/Q2787	1755	2	in-12	art
http://data.mimotext.uni-trier.de/entity/Q2790	1755	1	in-12	attraction
http://data.mimotext.uni-trier.de/entity/Q2901	1755	1	in-12	état
http://data.mimotext.uni-trier.de/entity/Q2999	1755	1	in-12	mort
http://data.mimotext.uni-trier.de/entity/Q3005	1755	1	in-12	nature
http://data.mimotext.uni-trier.de/entity/Q3034	1755	1	in-12	personnalité
http://data.mimotext.uni-trier.de/entity/Q3243	1755	1	in-12	campagne
http://data.mimotext.uni-trier.de/entity/Q3851	1755	1	in-12	Topic 0:[temps paraître encore]
http://data.mimotext.uni-trier.de/entity/Q4032	1755	2	in-12	Topic 23:[femme homme esprit]
http://data.mimotext.uni-trier.de/entity/Q2772	1755	2	in-12	alimentation
http://data.mimotext.uni-trier.de/entity/Q2793	1755	1	in-12	aventure
http://data.mimotext.uni-trier.de/entity/Q2812	1755	1	in-12	catastrophe
http://data.mimotext.uni-trier.de/entity/Q2835	1755	1	in-12	conte
http://data.mimotext.uni-trier.de/entity/Q2850	1755	1	in-12	critique sociale
http://data.mimotext.uni-trier.de/entity/Q2864	1755	2	in-12	deuil
http://data.mimotext.uni-trier.de/entity/Q2896	1755	1	in-12	esclavage
http://data.mimotext.uni-trier.de/entity/Q2903	1755	1	in-12	être humain
http://data.mimotext.uni-trier.de/entity/Q2930	1755	2	in-12	guerre
http://data.mimotext.uni-trier.de/entity/Q2953	1755	1	in-12	ironie
http://data.mimotext.uni-trier.de/entity/Q2988	1755	1	in-12	migration
http://data.mimotext.uni-trier.de/entity/Q2994	1755	3	in-12	monarchie
http://data.mimotext.uni-trier.de/entity/Q3015	1755	1	in-12	optimisme
http://data.mimotext.uni-trier.de/entity/Q3061	1755	1	in-12	raison
http://data.mimotext.uni-trier.de/entity/Q3071	1755	1	in-12	richesse
http://data.mimotext.uni-trier.de/entity/Q3089	1755	2	in-12	sociabilité
http://data.mimotext.uni-trier.de/entity/Q3090	1755	1	in-12	société
http://data.mimotext.uni-trier.de/entity/Q3869	1755	1	in-12	Topic 18:[point voir jour]
http://data.mimotext.uni-trier.de/entity/Q3997	1755	2	in-12	voyage maritime
http://data.mimotext.uni-trier.de/entity/Q2787	1760	2	in-12	art
http://data.mimotext.uni-trier.de/entity/Q3011	1760	2	in-12	noblesse
http://data.mimotext.uni-trier.de/entity/Q3484	1760	1	in-12	État
http://data.mimotext.uni-trier.de/entity/Q4032	1760	3	in-12	Topic 23:[femme homme esprit]
http://data.mimotext.uni-trier.de/entity/Q2772	1780	1	in-12	alimentation
http://data.mimotext.uni-trier.de/entity/Q2798	1780	2	in-12	beauté
http://data.mimotext.uni-trier.de/entity/Q2895	1780	2	in-12	érotisme
http://data.mimotext.uni-trier.de/entity/Q3026	1780	3	in-12	pastorale en littérature
http://data.mimotext.uni-trier.de/entity/Q3089	1780	1	in-12	sociabilité
http://data.mimotext.uni-trier.de/entity/Q3487	1780	3	in-12	Locus amoenus
http://data.mimotext.uni-trier.de/entity/Q4031	1780	2	in-12	Topic 22:[bon petit dame]
http://data.mimotext.uni-trier.de/entity/Q2804	1780	3	in-12	bonheur
http://data.mimotext.uni-trier.de/entity/Q2787	1790	1	in-12	art
http://data.mimotext.uni-trier.de/entity/Q2798	1790	2	in-12	beauté
http://data.mimotext.uni-trier.de/entity/Q2804	1790	2	in-12	bonheur
http://data.mimotext.uni-trier.de/entity/Q2917	1790	1	in-12	fuite
http://data.mimotext.uni-trier.de/entity/Q2999	1790	1	in-12	mort
http://data.mimotext.uni-trier.de/entity/Q3005	1790	1	in-12	nature
http://data.mimotext.uni-trier.de/entity/Q3012	1790	2	in-12	nuit
http://data.mimotext.uni-trier.de/entity/Q3026	1790	2	in-12	pastorale en littérature
http://data.mimotext.uni-trier.de/entity/Q3039	1790	3	in-12	philosophie
http://data.mimotext.uni-trier.de/entity/Q4042	1790	1	in-12	Topic 33:[porte grand voir]
http://data.mimotext.uni-trier.de/entity/Q2776	1795	17	in-12	amour
http://data.mimotext.uni-trier.de/entity/Q2790	1795	3	in-12	attraction
http://data.mimotext.uni-trier.de/entity/Q2804	1795	6	in-12	bonheur
http://data.mimotext.uni-trier.de/entity/Q2863	1795	2	in-12	destin
http://data.mimotext.uni-trier.de/entity/Q2907	1795	12	in-12	famille
http://data.mimotext.uni-trier.de/entity/Q2952	1795	2	in-12	interaction
http://data.mimotext.uni-trier.de/entity/Q2978	1795	17	in-12	malheur
http://data.mimotext.uni-trier.de/entity/Q3034	1795	3	in-12	personnalité
http://data.mimotext.uni-trier.de/entity/Q3071	1795	1	in-12	richesse
http://data.mimotext.uni-trier.de/entity/Q3085	1795	39	in-12	sentimentalisme
http://data.mimotext.uni-trier.de/entity/Q3087	1795	29	in-12	sentiment
http://data.mimotext.uni-trier.de/entity/Q2798	1750	2	in-12	beauté
http://data.mimotext.uni-trier.de/entity/Q3026	1750	2	in-12	pastorale en littérature
http://data.mimotext.uni-trier.de/entity/Q2864	1750	3	in-12	deuil
http://data.mimotext.uni-trier.de/entity/Q4031	1750	1	in-12	Topic 22:[bon petit dame]
http://data.mimotext.uni-trier.de/entity/Q2907	1750	2	in-12	famille
http://data.mimotext.uni-trier.de/entity/Q3071	1750	1	in-12	richesse
